Date,Link,Time_Until_Next_Sec,Estimated_Watch_Time_Sec
2026-01-28 18:51:33,https://www.tiktokv.com/share/video/7584510064875048223/,,
2026-01-28 18:50:47,https://www.tiktokv.com/share/video/7584591134106651959/,46.0,46.0
2026-01-28 18:50:40,https://www.tiktokv.com/share/video/7586331330556759326/,7.0,7.0
2026-01-28 18:50:39,https://www.tiktokv.com/share/video/7594558859465870599/,1.0,1.0
2026-01-28 18:50:36,https://www.tiktokv.com/share/video/7595565655395503382/,3.0,3.0
2026-01-28 18:49:59,https://www.tiktokv.com/share/video/7597103527139249439/,37.0,37.0
2026-01-28 18:49:33,https://www.tiktokv.com/share/video/7598406054673681695/,26.0,26.0
2026-01-28 18:49:00,https://www.tiktokv.com/share/video/7596393073026829598/,33.0,33.0
2026-01-28 18:48:57,https://www.tiktokv.com/share/video/7600225315910159646/,3.0,3.0
2026-01-28 18:48:55,https://www.tiktokv.com/share/video/7597467430935334199/,2.0,2.0
2026-01-28 18:48:54,https://www.tiktokv.com/share/video/7465791224645979410/,1.0,1.0
2026-01-28 18:48:41,https://www.tiktokv.com/share/video/7593537782325316919/,13.0,13.0
2026-01-28 18:48:03,https://www.tiktokv.com/share/video/7600078328074112287/,38.0,38.0
2026-01-28 18:47:15,https://www.tiktokv.com/share/video/7597962334644030734/,48.0,48.0
2026-01-28 18:47:04,https://www.tiktokv.com/share/video/7600276597136035102/,11.0,11.0
2026-01-28 18:46:33,https://www.tiktokv.com/share/video/7596081965166644502/,31.0,31.0
2026-01-28 18:46:27,https://www.tiktokv.com/share/video/7591869822296689951/,6.0,6.0
2026-01-28 18:46:06,https://www.tiktokv.com/share/video/7598981505632832799/,21.0,21.0
2026-01-28 18:45:51,https://www.tiktokv.com/share/video/7593964242341039373/,15.0,15.0
2026-01-28 18:45:50,https://www.tiktokv.com/share/video/7593028943045741837/,1.0,1.0
2026-01-28 18:45:27,https://www.tiktokv.com/share/video/7096241086393240837/,23.0,23.0
2026-01-28 18:45:19,https://www.tiktokv.com/share/video/7557481047101984003/,8.0,8.0
2026-01-28 18:45:01,https://www.tiktokv.com/share/video/7579429490841931038/,18.0,18.0
2026-01-28 18:45:00,https://www.tiktokv.com/share/video/7599800851733007623/,1.0,1.0
2026-01-28 18:44:58,https://www.tiktokv.com/share/video/7598554109632990478/,2.0,2.0
2026-01-28 18:44:57,https://www.tiktokv.com/share/video/7465791195202047248/,1.0,1.0
2026-01-28 18:44:11,https://www.tiktokv.com/share/video/7588618430069214486/,46.0,46.0
2026-01-28 18:44:05,https://www.tiktokv.com/share/video/7598176594481384718/,6.0,6.0
2026-01-28 18:43:55,https://www.tiktokv.com/share/video/7596558179178122551/,10.0,10.0
2026-01-28 18:43:40,https://www.tiktokv.com/share/video/7594249825055526199/,0.0,0.0
2026-01-28 18:43:40,https://www.tiktokv.com/share/video/7600051526505123094/,15.0,15.0
2026-01-28 18:39:12,https://www.tiktokv.com/share/video/7596083731836783894/,268.0,268.0
2026-01-28 17:58:04,https://www.tiktokv.com/share/video/7598773410092551479/,2468.0,
2026-01-28 17:57:53,https://www.tiktokv.com/share/video/7581314943929044237/,11.0,11.0
2026-01-28 17:57:43,https://www.tiktokv.com/share/video/7596857096289701150/,10.0,10.0
2026-01-28 17:56:34,https://www.tiktokv.com/share/video/7596747197866085663/,69.0,69.0
2026-01-28 17:25:07,https://www.tiktokv.com/share/video/7593455580975467789/,1887.0,
2026-01-28 17:25:05,https://www.tiktokv.com/share/video/7596742394838617375/,2.0,2.0
2026-01-28 17:23:12,https://www.tiktokv.com/share/video/7597938278821678349/,113.0,113.0
2026-01-28 17:23:12,https://www.tiktokv.com/share/video/7465791224465640712/,0.0,0.0
2026-01-28 17:23:10,https://www.tiktokv.com/share/video/7597922510545440031/,2.0,2.0
2026-01-28 17:22:56,https://www.tiktokv.com/share/video/7598959651446672658/,14.0,14.0
2026-01-28 17:22:53,https://www.tiktokv.com/share/video/7598380876396891405/,3.0,3.0
2026-01-28 17:22:21,https://www.tiktokv.com/share/video/7596730964705889566/,32.0,32.0
2026-01-28 17:22:10,https://www.tiktokv.com/share/video/7596110970422906133/,11.0,11.0
2026-01-28 17:21:15,https://www.tiktokv.com/share/video/7598696658540449038/,55.0,55.0
2026-01-28 17:21:09,https://www.tiktokv.com/share/video/7597134786469072158/,6.0,6.0
2026-01-28 17:21:08,https://www.tiktokv.com/share/video/7598665219421801759/,0.0,0.0
2026-01-28 17:21:08,https://www.tiktokv.com/share/video/7598386893608242445/,1.0,1.0
2026-01-28 17:21:07,https://www.tiktokv.com/share/video/7595035824878554423/,1.0,1.0
2026-01-28 17:21:03,https://www.tiktokv.com/share/video/7598435162673663252/,4.0,4.0
2026-01-28 17:21:03,https://www.tiktokv.com/share/video/7598653124546432269/,0.0,0.0
2026-01-28 17:18:05,https://www.tiktokv.com/share/video/7598659979184278795/,178.0,178.0
2026-01-28 17:17:34,https://www.tiktokv.com/share/video/7598635932316716302/,31.0,31.0
2026-01-28 17:16:56,https://www.tiktokv.com/share/video/7598381328421113119/,38.0,38.0
2026-01-28 17:16:54,https://www.tiktokv.com/share/video/7394857000653393194/,2.0,2.0
2026-01-28 17:16:31,https://www.tiktokv.com/share/video/7393528474620759326/,23.0,23.0
2026-01-28 17:16:18,https://www.tiktokv.com/share/video/7595826651745815839/,13.0,13.0
2026-01-28 17:16:00,https://www.tiktokv.com/share/video/7598987028868500766/,18.0,18.0
2026-01-28 17:15:26,https://www.tiktokv.com/share/video/7598022493105900814/,34.0,34.0
2026-01-28 17:15:21,https://www.tiktokv.com/share/video/7599007053603933471/,5.0,5.0
2026-01-28 17:15:04,https://www.tiktokv.com/share/video/7599732843077455124/,17.0,17.0
2026-01-28 17:14:22,https://www.tiktokv.com/share/video/7595945297897983253/,42.0,42.0
2026-01-28 17:13:00,https://www.tiktokv.com/share/video/7594528366234062135/,82.0,82.0
2026-01-28 17:12:46,https://www.tiktokv.com/share/video/7590924221199420685/,14.0,14.0
2026-01-28 17:11:24,https://www.tiktokv.com/share/video/7579360256908676365/,82.0,82.0
2026-01-28 17:10:47,https://www.tiktokv.com/share/video/7593474368567577879/,37.0,37.0
2026-01-28 17:08:32,https://www.tiktokv.com/share/video/7600410452643925270/,135.0,135.0
2026-01-28 17:08:31,https://www.tiktokv.com/share/video/7528242504030899464/,1.0,1.0
2026-01-28 17:04:27,https://www.tiktokv.com/share/video/7599822007718497566/,244.0,244.0
2026-01-28 17:03:04,https://www.tiktokv.com/share/video/7593960884326747405/,83.0,83.0
2026-01-28 17:03:02,https://www.tiktokv.com/share/video/7600098825604238622/,2.0,2.0
2026-01-28 16:37:29,https://www.tiktokv.com/share/video/7490078960735309098/,1533.0,
2026-01-28 16:36:53,https://www.tiktokv.com/share/video/7590536182124055838/,36.0,36.0
2026-01-28 16:36:37,https://www.tiktokv.com/share/video/7600429515927506189/,16.0,16.0
2026-01-28 16:36:36,https://www.tiktokv.com/share/video/7597503415723232534/,1.0,1.0
2026-01-28 16:36:35,https://www.tiktokv.com/share/video/7593028955825868045/,1.0,1.0
2026-01-28 16:34:55,https://www.tiktokv.com/share/video/7593980341866532126/,100.0,100.0
2026-01-28 16:34:48,https://www.tiktokv.com/share/video/7598674983765675282/,7.0,7.0
2026-01-28 16:34:44,https://www.tiktokv.com/share/video/7589685888255282463/,0.0,0.0
2026-01-28 16:34:44,https://www.tiktokv.com/share/video/7587161544719486263/,4.0,4.0
2026-01-28 16:34:42,https://www.tiktokv.com/share/video/7380848719660633390/,2.0,2.0
2026-01-28 16:34:40,https://www.tiktokv.com/share/video/7576178640551972151/,2.0,2.0
2026-01-28 16:34:12,https://www.tiktokv.com/share/video/7594237227161505037/,28.0,28.0
2026-01-28 16:34:07,https://www.tiktokv.com/share/video/7597983699598282005/,5.0,5.0
2026-01-28 16:33:56,https://www.tiktokv.com/share/video/7600148832072158484/,11.0,11.0
2026-01-28 16:33:50,https://www.tiktokv.com/share/video/7600157040765308181/,6.0,6.0
2026-01-28 16:33:49,https://www.tiktokv.com/share/video/7600212137633467669/,1.0,1.0
2026-01-28 16:33:43,https://www.tiktokv.com/share/video/7600147590306401557/,6.0,6.0
2026-01-28 16:33:19,https://www.tiktokv.com/share/video/7540380264875314439/,24.0,24.0
2026-01-28 16:32:59,https://www.tiktokv.com/share/video/7598307876834233618/,20.0,20.0
2026-01-28 16:30:17,https://www.tiktokv.com/share/video/7593542795982392607/,162.0,162.0
2026-01-28 16:30:07,https://www.tiktokv.com/share/video/7596148753355033869/,10.0,10.0
2026-01-28 16:30:06,https://www.tiktokv.com/share/video/7595804187082951950/,1.0,1.0
2026-01-28 16:29:59,https://www.tiktokv.com/share/video/7395663863154281759/,0.0,0.0
2026-01-28 16:29:59,https://www.tiktokv.com/share/video/7400151323875888427/,7.0,7.0
2026-01-28 16:29:42,https://www.tiktokv.com/share/video/7561207999222517023/,17.0,17.0
2026-01-28 16:29:26,https://www.tiktokv.com/share/video/7584523098897124663/,16.0,16.0
2026-01-28 16:29:24,https://www.tiktokv.com/share/video/7600147316804275478/,2.0,2.0
2026-01-28 16:29:11,https://www.tiktokv.com/share/video/7592735760852274462/,13.0,13.0
2026-01-28 16:28:58,https://www.tiktokv.com/share/video/7593794466746551565/,13.0,13.0
2026-01-28 15:51:35,https://www.tiktokv.com/share/video/7598793420840193336/,2243.0,
2026-01-28 15:51:33,https://www.tiktokv.com/share/video/7595685819176865037/,2.0,2.0
2026-01-28 15:51:29,https://www.tiktokv.com/share/video/7592636204001004813/,4.0,4.0
2026-01-28 15:51:28,https://www.tiktokv.com/share/video/7598222411883941150/,1.0,1.0
2026-01-28 15:50:15,https://www.tiktokv.com/share/video/7600198554044452097/,73.0,73.0
2026-01-28 15:48:35,https://www.tiktokv.com/share/video/7597954420248218910/,100.0,100.0
2026-01-28 15:48:19,https://www.tiktokv.com/share/video/7597301469544598814/,16.0,16.0
2026-01-28 15:48:08,https://www.tiktokv.com/share/video/7596846984791690516/,11.0,11.0
2026-01-28 15:48:08,https://www.tiktokv.com/share/video/7591929381405101332/,0.0,0.0
2026-01-28 15:48:02,https://www.tiktokv.com/share/video/7598311890439212319/,6.0,6.0
2026-01-28 15:44:27,https://www.tiktokv.com/share/video/7595232547412479246/,215.0,215.0
2026-01-28 15:44:08,https://www.tiktokv.com/share/video/7597231068005027086/,19.0,19.0
2026-01-28 15:43:36,https://www.tiktokv.com/share/video/7597957689741708558/,32.0,32.0
2026-01-28 15:42:53,https://www.tiktokv.com/share/video/7596108983195208990/,43.0,43.0
2026-01-28 15:41:51,https://www.tiktokv.com/share/video/7598911020429561118/,62.0,62.0
2026-01-28 15:41:36,https://www.tiktokv.com/share/video/7596879362738244894/,15.0,15.0
2026-01-28 15:40:31,https://www.tiktokv.com/share/video/7598405017216748855/,65.0,65.0
2026-01-28 15:12:21,https://www.tiktokv.com/share/video/7586125608112082231/,1690.0,
2026-01-28 15:11:58,https://www.tiktokv.com/share/video/7600137563864567062/,23.0,23.0
2026-01-28 15:11:51,https://www.tiktokv.com/share/video/7586066694272077111/,7.0,7.0
2026-01-28 15:11:22,https://www.tiktokv.com/share/video/7598646982059494670/,29.0,29.0
2026-01-28 15:11:20,https://www.tiktokv.com/share/video/7600255093652442399/,2.0,2.0
2026-01-28 15:11:09,https://www.tiktokv.com/share/video/7595808229003660575/,11.0,11.0
2026-01-28 13:38:17,https://www.tiktokv.com/share/video/7598792526983646486/,5572.0,
2026-01-28 13:38:12,https://www.tiktokv.com/share/video/7584891861186252049/,5.0,5.0
2026-01-28 13:38:07,https://www.tiktokv.com/share/video/7598798663946734870/,5.0,5.0
2026-01-28 13:38:06,https://www.tiktokv.com/share/video/7599117899252436246/,1.0,1.0
2026-01-28 13:38:04,https://www.tiktokv.com/share/video/7599771479286418690/,2.0,2.0
2026-01-28 13:38:01,https://www.tiktokv.com/share/video/7599910785971768598/,3.0,3.0
2026-01-28 13:37:46,https://www.tiktokv.com/share/video/7600272015433534742/,15.0,15.0
2026-01-28 13:37:40,https://www.tiktokv.com/share/video/7600288168478346518/,6.0,6.0
2026-01-28 13:36:52,https://www.tiktokv.com/share/video/7600203661691653406/,48.0,48.0
2026-01-28 13:36:30,https://www.tiktokv.com/share/video/7597750053813505288/,22.0,22.0
2026-01-28 13:36:27,https://www.tiktokv.com/share/video/7598622424220880183/,3.0,3.0
